time_s,x_m,y_m,speed_mps,speed_kph,yaw_deg,yaw_rate_deg_s,roll_deg,pitch_deg,fl_steer_deg,fr_steer_deg,fl_fx_n,fr_fx_n,fl_fy_n,fr_fy_n
2.24,0.00762422398436977,-0.3398398817341955,0.06363669836263962,0.22909211410550262,2.5201493332537477,3.50107708649189,-0.4227275596495812,-0.027467730972375305,60.00002571454079,97.9999617863253,-6640.003633336143,5259.233059497503,6640.003633336143,5259.233059497503
2.25,0.008017169022452818,-0.34017316861183944,0.051450050281797576,0.18522018101447127,2.5375319566677295,1.7436098274976122,-0.534870196341959,-0.020155377453092985,-97.9999617863253,-60.00002571454079,6690.221129923549,-5290.316460309692,6690.221129923549,5290.316460309692
2.2600000000000002,0.007453694311381134,-0.34032759533456824,0.05839882398205178,0.21023576633538643,2.554841947532537,1.717595248476544,-0.6232856283371846,-0.03443298675771982,60.00002571454079,97.9999617863253,-6656.935726655271,5388.237537611054,6656.935726655271,5388.237537611054
2.27,0.007712623528830351,-0.34030905911844817,0.02595807138732395,0.09344905699436622,2.5575572116084073,0.28208939159764945,-0.6800665551605842,-0.024707916075366706,-97.9999617863253,-60.00002571454079,6595.670417545587,-5598.955923957186,6595.670417545587,5598.955923957186
2.2800000000000002,0.006928182043609027,-0.33976954793307523,0.09535442771575052,0.3432759397767019,2.5336911577468975,-2.4014591345129066,-0.7137311073564838,-0.037364357027318364,60.00002571454079,97.9999617863253,-6498.7259132516665,5715.625471185398,6498.7259132516665,5715.625471185398
2.29,0.006791809229764998,-0.33873618415723905,0.10444724386096989,0.3760100778994916,2.4691848253221895,-6.43363400959483,-0.6888168877035563,-0.024120510760110837,-97.9999617863253,-60.00002571454079,6451.122825580569,-5874.862447857576,6451.122825580569,5874.862447857576
2.3000000000000003,0.006897802485257796,-0.3371829003746706,0.15588520428424377,0.5611867354232776,2.411630520866614,-5.760587147622876,-0.6184141580077427,-0.028756348997583756,60.00002571454079,97.9999617863253,-6405.226551857003,5931.0215661195125,6405.226551857003,-5931.0215661195125
2.31,0.00581906831116979,-0.3355303727995961,0.1974830385830505,0.7109389388989819,2.3202516652163636,-9.14886002255919,-0.5011204799141042,-0.03941854310480742,-97.9999617863253,-60.00002571454079,6369.657016167082,-6086.189167912285,-6369.657016167082,-6086.189167912285
2.32,0.0058075121131638254,-0.3330826186590174,0.2448951437458222,0.8816225174849599,2.219910858719001,-10.017108671869554,-0.37331489242119226,-0.020454845734919097,60.00002571454079,97.9999617863253,6209.824667111332,6238.310634353772,-6209.824667111332,-6238.310634353772
2.33,0.0054766504754982966,-0.3305091777436994,0.2595230186881522,0.9342828672773479,2.1554229097677946,-6.455059001855227,-0.18244017077924563,-0.030279685211740966,-97.9999617863253,-60.00002571454079,-5943.019847185574,6369.452521672704,-5943.019847185574,6369.452521672704
2.34,0.005996675379476093,-0.32807975630000846,0.2484388934698517,0.8943800164914661,2.082508012805523,-7.291861062472485,0.01134418399611089,-0.031565256897811866,60.00002571454079,97.9999617863253,5834.3199407627,-6498.4952094185,-5834.3199407627,-6498.4952094185
2.35,0.005929804894703958,-0.3262273066816311,0.18529710363501,0.6670695730860361,2.0420356012766487,-4.046790158729709,0.17798529342318917,-0.05430847609145213,-97.9999617863253,-60.00002571454079,-5584.141500121061,6605.227538848849,-5584.141500121061,-6605.227538848849
2.36,0.005989422450484794,-0.3250780691844952,0.11496359478837576,0.4138689412381527,1.9992832402471319,-4.273157531083754,0.28449834754205383,-0.06092709383143727,60.00002571454079,97.9999617863253,5419.411850225823,-6686.465275982427,-5419.411850225823,3647.7423264369595
2.37,0.005459997791076093,-0.3245448842528596,0.07506144232039325,0.2702211923534157,1.9893480209459513,-0.9885657722870245,0.3182256909976147,-0.07088265796682072,-97.9999617863253,-60.00002571454079,-5346.14817626182,6662.225505685421,-5346.14817626182,-6662.225505685421
2.38,0.0059836907715028744,-0.3245800250725663,0.05247312969557798,0.1889032669040807,2.0087283559049744,1.9349320910666303,0.29291994178275055,-0.06535511393877096,60.00002571454079,97.9999617863253,5534.889477283265,-6559.12819161031,-5534.889477283265,-6559.12819161031
